                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2763,                 2.0731,                 1.1103,                0.39171,                0.66847,                 0.4992,                0.34953,                 1.1722,                 2.1246,                0.99464,              0.0006595,              0.0006595,              0.0006595
                      2,                 1.1943,                 1.4568,                 1.0833,                0.46562,                0.43106,                0.42633,                0.25528,                 1.4379,                 2.0806,                 1.2331,              0.0012999,              0.0012999,              0.0012999
                      3,                 1.2028,                 1.3445,                 1.0965,                0.70997,                 0.5074,                0.55446,                0.35153,                 1.2202,                   1.96,                 1.1122,              0.0019139,              0.0019139,              0.0019139
                      4,                 1.1351,                 1.1837,                 1.0646,                0.70167,                0.70113,                0.76935,                0.53239,                 1.0456,                 1.2051,                 1.0098,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0996,                 1.1097,                 1.0563,                0.72763,                0.69471,                0.76234,                0.54874,                0.96527,                 1.1152,                0.97886,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.0583,                 1.0673,                 1.0433,                0.77375,                0.69979,                0.81772,                0.55696,                 1.1319,                 1.0379,                 1.0187,               0.001802,               0.001802,               0.001802
                      7,                 1.0495,                 1.0202,                 1.0268,                 0.6869,                0.56871,                 0.5815,                0.37792,                 1.3764,                 1.6751,                 1.1474,              0.0017624,              0.0017624,              0.0017624
                      8,                0.96519,                0.96867,                 1.0014,                0.74016,                0.71666,                0.75587,                0.56732,                0.92046,                 1.1781,                  0.981,              0.0017228,              0.0017228,              0.0017228
                      9,                 0.9665,                0.99234,                 1.0135,                 0.7452,                 0.7759,                0.84065,                0.64321,                0.87944,                0.92422,                0.96226,              0.0016832,              0.0016832,              0.0016832
                     10,                0.92206,                0.92409,                0.98908,                0.75547,                0.73809,                 0.8293,                0.62188,                  0.927,                0.95513,                0.95996,              0.0016436,              0.0016436,              0.0016436
                     11,                0.92927,                0.93745,                 0.9906,                0.73947,                0.67442,                0.72643,                0.53098,                0.96968,                 1.0779,                0.98567,               0.001604,               0.001604,               0.001604
                     12,                 0.9114,                0.88453,                0.98324,                0.76054,                0.76547,                0.84264,                0.67445,                0.73928,                0.84744,                0.91179,              0.0015644,              0.0015644,              0.0015644
                     13,                0.90561,                0.88458,                0.98387,                0.77756,                0.79075,                0.84277,                0.67926,                0.76233,                0.83764,                 0.9093,              0.0015248,              0.0015248,              0.0015248
                     14,                0.86814,                0.87583,                0.96808,                0.75593,                0.64693,                0.71859,                0.56642,                0.82802,                 1.0354,                0.94385,              0.0014852,              0.0014852,              0.0014852
                     15,                0.87301,                0.86266,                0.97365,                0.76401,                0.77344,                0.83151,                 0.6736,                0.72999,                0.88011,                0.89402,              0.0014456,              0.0014456,              0.0014456
                     16,                0.86757,                0.84677,                0.97031,                0.83614,                0.76594,                 0.8714,                0.70965,                0.73644,                0.76257,                0.90672,               0.001406,               0.001406,               0.001406
                     17,                0.85088,                 0.8222,                0.96698,                0.77286,                0.72304,                0.82919,                0.60335,                0.93485,                 1.0353,                0.98409,              0.0013664,              0.0013664,              0.0013664
                     18,                0.84592,                0.81221,                0.95839,                 0.8518,                0.72909,                0.87409,                 0.7138,                0.70348,                0.76687,                0.89074,              0.0013268,              0.0013268,              0.0013268
                     19,                0.83777,                0.80239,                0.96094,                0.75915,                0.85412,                0.87028,                0.71767,                0.68195,                0.73756,                0.88647,              0.0012872,              0.0012872,              0.0012872
                     20,                0.80897,                0.78522,                0.94692,                0.83022,                0.78436,                0.88147,                0.72052,                0.69901,                0.71581,                0.88779,              0.0012476,              0.0012476,              0.0012476
                     21,                 0.7982,                0.77558,                 0.9464,                0.76319,                0.82664,                0.86954,                0.70842,                0.74253,                0.79408,                 0.8903,               0.001208,               0.001208,               0.001208
                     22,                0.80919,                0.78796,                0.94454,                0.79632,                 0.7907,                0.86239,                0.69034,                0.76698,                0.77081,                0.89429,              0.0011684,              0.0011684,              0.0011684
                     23,                 0.7753,                0.76175,                0.94198,                0.80268,                0.76533,                 0.8588,                0.69326,                0.74555,                0.77058,                0.89773,              0.0011288,              0.0011288,              0.0011288
                     24,                0.78487,                0.75941,                0.93483,                0.83017,                0.79281,                0.87967,                0.71714,                0.73116,                0.73057,                  0.885,              0.0010892,              0.0010892,              0.0010892
                     25,                0.74399,                0.72361,                0.92825,                0.79878,                0.84567,                0.90493,                0.76061,                0.66711,                0.69405,                0.87102,              0.0010496,              0.0010496,              0.0010496
                     26,                0.75373,                0.73823,                0.92637,                0.85032,                0.81668,                0.88987,                0.74141,                0.68613,                0.68211,                0.87216,                0.00101,                0.00101,                0.00101
