                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2953,                 1.9739,                 1.1328,                0.82879,                0.47077,                0.64746,                0.43229,                 1.1013,                 2.0847,                 1.0253,              0.0006595,              0.0006595,              0.0006595
                      2,                 1.1971,                 1.3787,                  1.082,                 0.6819,                0.67442,                0.66603,                0.48572,                 1.0144,                 1.3065,                0.99343,              0.0012999,              0.0012999,              0.0012999
                      3,                 1.1709,                 1.2388,                 1.0967,                0.29933,                0.44979,                 0.3353,                0.21736,                 1.3953,                 2.1596,                 1.2417,              0.0019139,              0.0019139,              0.0019139
                      4,                 1.1233,                 1.1333,                 1.0611,                0.72779,                0.62179,                0.72703,                0.45693,                 1.2051,                 1.1985,                 1.1091,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0777,                 1.0436,                 1.0499,                0.71925,                0.67442,                0.74237,                0.53397,                 1.0629,                 1.2845,                0.99855,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.0561,                   1.04,                 1.0362,                 0.7486,                0.76956,                0.82367,                0.61038,                0.93494,                0.98937,                0.97547,               0.001802,               0.001802,               0.001802
                      7,                 1.0243,                 1.0118,                 1.0175,                0.73714,                0.77801,                0.84144,                0.64166,                0.83591,                0.96995,                0.93913,              0.0017624,              0.0017624,              0.0017624
                      8,                0.97745,                0.95048,                 1.0083,                0.71633,                0.79493,                0.82553,                0.65402,                0.82488,                0.87552,                0.93392,              0.0017228,              0.0017228,              0.0017228
                      9,                 0.9622,                0.94085,                 1.0024,                0.74915,                0.71247,                0.81018,                0.63146,                0.88711,                 0.9942,                 0.9475,              0.0016832,              0.0016832,              0.0016832
                     10,                0.93852,                0.90972,                0.99337,                0.75284,                 0.7315,                0.82466,                0.62808,                0.85862,                0.90094,                0.94149,              0.0016436,              0.0016436,              0.0016436
                     11,                 0.9528,                0.92294,                 1.0072,                0.70873,                0.78858,                0.83149,                0.64861,                0.83998,                0.86307,                0.93111,               0.001604,               0.001604,               0.001604
                     12,                0.91538,                0.87837,                0.98758,                0.79656,                0.75899,                0.82904,                0.66659,                0.76979,                 0.8862,                0.92312,              0.0015644,              0.0015644,              0.0015644
                     13,                 0.8807,                0.84875,                0.97132,                0.77893,                0.77378,                0.83504,                0.67202,                0.73122,                0.78581,                0.90813,              0.0015248,              0.0015248,              0.0015248
                     14,                0.88448,                0.83341,                0.97886,                0.74875,                0.82452,                 0.8571,                0.65006,                0.91957,                0.83281,                0.93456,              0.0014852,              0.0014852,              0.0014852
                     15,                0.86225,                0.82202,                0.96802,                 0.7614,                 0.7961,                0.84471,                 0.6852,                0.76055,                0.82788,                0.91454,              0.0014456,              0.0014456,              0.0014456
