                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1284,                  1.843,                  1.135,                 0.6438,                0.60787,                0.65145,                0.42075,                 1.1463,                 1.4575,                 1.2381,              0.0033305,              0.0033305,              0.0033305
                      2,                 1.1018,                 1.2023,                 1.1274,                0.63554,                0.68968,                0.68468,                0.42461,                 1.2057,                 1.2911,                 1.2823,              0.0065319,              0.0065319,              0.0065319
                      3,                 1.1901,                 1.1447,                 1.1857,                0.64875,                0.66472,                0.67159,                0.42325,                  1.278,                 1.3082,                 1.4003,              0.0096013,              0.0096013,              0.0096013
                      4,                 1.1882,                 1.1069,                 1.2041,                0.66664,                0.66148,                 0.6976,                0.44871,                 1.2477,                 1.3391,                 1.3917,               0.009406,               0.009406,               0.009406
                      5,                 1.1241,                 1.0235,                 1.1707,                0.66876,                0.68922,                0.70499,                0.46442,                 1.1557,                 1.1861,                  1.362,               0.009208,               0.009208,               0.009208
                      6,                 1.0677,                0.96665,                 1.1433,                0.72694,                0.69611,                0.77066,                 0.5297,                 1.0487,                 1.0547,                 1.2435,                0.00901,                0.00901,                0.00901
                      7,                 1.0366,                0.93834,                 1.1305,                0.73451,                0.71459,                0.76924,                0.53166,                 1.0408,                  1.049,                 1.2499,               0.008812,               0.008812,               0.008812
                      8,                0.99818,                0.90054,                 1.1154,                0.70713,                 0.6911,                0.74176,                0.51918,                 1.0218,                 1.0834,                 1.2337,               0.008614,               0.008614,               0.008614
                      9,                0.98438,                0.88321,                 1.1142,                0.73142,                0.74271,                0.77639,                 0.5492,                 1.0112,                 1.0403,                 1.2301,               0.008416,               0.008416,               0.008416
                     10,                0.96161,                0.86952,                 1.1021,                0.73023,                0.73366,                0.77916,                0.55966,                0.97704,                 1.0014,                  1.207,               0.008218,               0.008218,               0.008218
                     11,                0.94171,                0.84459,                  1.089,                0.70721,                0.73256,                0.76787,                0.55871,                 0.9375,                0.99974,                 1.1746,                0.00802,                0.00802,                0.00802
                     12,                0.93067,                0.84105,                 1.0896,                0.75246,                0.73446,                0.79561,                0.57702,                 0.9466,                0.93886,                 1.1823,               0.007822,               0.007822,               0.007822
                     13,                0.90929,                0.82508,                 1.0752,                0.73864,                0.75633,                0.80756,                0.58076,                0.93488,                0.94314,                 1.1982,               0.007624,               0.007624,               0.007624
                     14,                0.90364,                 0.8145,                 1.0726,                0.74919,                0.73851,                0.79673,                0.58216,                0.92284,                0.94212,                 1.1816,               0.007426,               0.007426,               0.007426
                     15,                0.88994,                0.80447,                 1.0637,                0.73537,                0.75891,                0.79848,                0.59121,                0.89432,                0.92937,                 1.1605,               0.007228,               0.007228,               0.007228
                     16,                0.87587,                0.79502,                  1.058,                0.75375,                0.75332,                0.80891,                0.59468,                0.90865,                0.90651,                 1.1688,                0.00703,                0.00703,                0.00703
                     17,                0.87384,                0.78943,                 1.0572,                0.74717,                0.74061,                 0.7984,                0.59996,                0.87378,                0.91869,                 1.1528,               0.006832,               0.006832,               0.006832
